"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"140","RT @maximumbeth: A10 I loved Peru. I felt truly cared for there and people were always looking out for me. #PeacePostcard",FALSE,0,NA,2018-09-27 17:52:42,FALSE,NA,"1045370661605117954",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sheswanderful",2,TRUE,FALSE,NA,NA
"141","RT @maximumbeth: A10 I loved Peru. I felt truly cared for there and people were always looking out for me. #PeacePostcard",FALSE,0,NA,2018-09-27 17:52:40,FALSE,NA,"1045370653895995393",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","marissa_sutera",2,TRUE,FALSE,NA,NA
"142","A10 I loved Peru. I felt truly cared for there and people were always looking out for me. #PeacePostcard",FALSE,4,NA,2018-09-27 17:52:00,FALSE,NA,"1045370485356331010",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","maximumbeth",2,FALSE,FALSE,NA,NA
"143","@Pink Last one, #ForNow. My son again in Peru; my husband in NYC; my sister in Upstate NY; Boston concert in April.… https://t.co/cvz3dDZSKJ",FALSE,0,"Pink",2018-09-27 13:39:00,TRUE,NA,"1045306817541263361","28706024","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","3OnTheTerrace",0,FALSE,FALSE,NA,NA
"144","@Pink Here is my son in Peru earlier this year. I was inspired by your song #IAmHere https://t.co/mMIG6DGi3p",FALSE,0,"Pink",2018-09-27 13:26:31,FALSE,NA,"1045303676183678977","28706024","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","3OnTheTerrace",0,FALSE,FALSE,NA,NA
"145","Por primera vez seis naciones soberanas -conjuntamente- denuncian ante la Corte Penal Internacional a un individuo… https://t.co/fOLqrZ07QC",FALSE,0,NA,2018-09-27 13:26:28,TRUE,NA,"1045303661654691840",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","santaellacarlos",0,FALSE,FALSE,NA,NA
"146","I liked a @YouTube video https://t.co/7ZGRM4EX4d VISITANDO UNA ISLA DE CACA DE AVES EN PERU",FALSE,0,NA,2018-09-27 12:34:39,FALSE,NA,"1045290623874605056",NA,"<a href=""https://www.google.com/"" rel=""nofollow"">Google</a>","WilsonVegaUlloa",0,FALSE,FALSE,NA,NA
"147","RT @W2Oorg: Thank you @MCAF_NEAQ @CenterOceanLife @NEAQ for bringing us this wonderful evening with Kerstin Forsberg @PlanetaOceano to hear…",FALSE,0,NA,2018-09-27 12:01:36,FALSE,NA,"1045282304850055176",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","thepowerofmeow",2,TRUE,FALSE,NA,NA
"148","RT @W2Oorg: Thank you @MCAF_NEAQ @CenterOceanLife @NEAQ for bringing us this wonderful evening with Kerstin Forsberg @PlanetaOceano to hear…",FALSE,0,NA,2018-09-27 07:00:31,FALSE,NA,"1045206535885017088",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MCAF_NEAQ",2,TRUE,FALSE,NA,NA
"149","@Albertosoto Ya tengo a mi candidato, pero no estoy en Perú <U+0001F1F5><U+0001F1EA> :/ Espero que la gente lea algo y pueda decidir bien.",FALSE,0,"Albertosoto",2018-09-27 04:26:32,FALSE,"1045167555789418496","1045167785456947201","35134985","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","angelml10",0,FALSE,FALSE,NA,NA
